,true_answer,model_answer,question
96304,Thomas Tryon,Who is Tom Tryon?,"'In the 1970s this former actor enjoyed success as the bestselling author of ""The Other"" & ""Harvest Home""'"
148167,Mohammed,Who is Prophet Muhammad?,'The Koran was revealed to him beginning one night on Mount Hira in 610'
91630,Malcolm Little (or Malcolm X),Who is Malcolm X?,'His father Earl Little was a Baptist minister & an organizer for Marcus Garvey'
115356,Wilson\'s 14 Points,What is Wilson's Fourteen Points?,"'1918:<br />""No. 2: Absolute freedom of navigation upon the seas, outside territorial waters""'"
189054,Leona Lewis,"What is the name of the singer who recorded the popular song ""Bleeding Love""?","'""Bleeding Love""'"
203542,"Waiting for ""Superman""","What is ""Waiting for Superman""?","'(<a href=""http://www.j-archive.com/media/2011-11-28_DJ_07.jpg"" target=""_blank"">I'm Geoffrey Canada, president of the Harlem Children's Zone.</a>)  From Davis Guggenheim, the Academy Award-winning director of ""An Inconvenient Truth"", comes this deeply personal exploration of the state of public education in the U.S., a 2010 clarion call of our times'"
191580,Graves\' Disease,What is Graves' disease?,'Physician Robert Graves first identified this disease in 1835'
62161,(Charlton) Heston,Who is Charlton Heston?,"'Holy Moses!  He played a doctor fighting off zombies spawned by germ warfare in ""The Omega Man""'"
11880,Grand Canyon (National Park),What is the Grand Canyon National Park?,"'To reduce smog at this nearby national park, a Page, Ariz. power plant agreed to slash emissions'"
60540,pacemaker (from peacemaker),"What is a pacemaker? (dropping the letter ""M"" from ""mediator"")","'...from a type of mediator to get <a href=""http://www.j-archive.com/media/2011-03-09_DJ_18.jpg"" target=""_blank"">this</a> implanted device visible in the chest C-ray seen <a href=""http://www.j-archive.com/media/2011-03-09_DJ_18a.jpg"" target=""_blank"">here</a>'"
142982,(Jawaharlal) Nehru,Who is Jawaharlal Nehru?,"'While in prison in the 1920s, he wrote ""Glimpses of World History"", a series of letters to his daughter'"
122470,(Aaron) Copland,Who is Aaron Copland?,"'This ""Fanfare for the Common Man"" composer sold his first work while studying with Nadia Boulanger in Paris'"
97277,knighthood,What is Knight Bachelor? ,'In 1953 batsman Jack Hobbs became the first pro cricketer to receive this title from the monarch'
172626,Paula Jones,Who is Monica Lewinsky?,'She wept in 1998 when President Clinton agreed to settle her harassment lawsuit'
40779,Peter I. Tchaikovsky,Who is Pyotr Ilyich Tchaikovsky?,"'He wrote the ""1812 Overture"" to commemorate Napoleon's retreat from Moscow'"
61036,a bijou,"What is ""Bijou""?","'Seen in theater names of the '20s & '30s, this word refers to a jewel or exquisite trinket'"
1143,Pull it out from under him,What is pull the football away at the last second?,"'When Lucy invites Charlie Brown to kick a football, you can expect her to do this'"
44163,an Uzi,What is UZI?,"'In the American Heritage Dictionary, the last entry under ""U"" is this Israeli-made submachine gun'"
199559,Wenceslas,Who is Wenceslaus (or Václav) I?,"'This ""Good King"" of Bohemia was killed by his brother Boleslav while on the way to mass'"
164260,Scotland & Wales,What are Scotland and Wales?,"'In England, guests arrive 15 minutes after the invited hour, but in these 2 countries of Great Britain, be prompt'"
216929,Grigori Alexandrovich Potemkin,Who is Grigory Potemkin?,'A silent movie title includes the last name of this 18th c. statesman & favorite of Catherine the Great'
105255,"William ""Buffalo Bill"" Cody","Who is William F. Cody, also known as Buffalo Bill?","'In 1989 this wild west scout & showman's medal, revoked in 1917, was restored'"
194618,"The Sound of Music (""Do-Re-Mi"")","What is ""The Sound of Music""?","'A Hawaiian version of this musical would feature the scale song ""Pa-Ko-Li""'"
88806,a trading post,What is the trading post?,"'(<a href=""http://www.j-archive.com/media/2006-07-06_DJ_20.jpg"" target=""_blank"">Sarah reports from the NY Stock Exchange floor.</a>)  The floor location where buying & selling occurs is called this, like the early American sites where furs were sold'"
59620,TNN (The Nashville Network),What is The Nashville Network (TNN)?,"'TV's ""Music City Tonight"" is taped at Opryland & broadcast by this cable network located there'"
179964,Holland (the Netherlands),What is the Netherlands?,"'Like Anne Frank, who was a month younger, Audrey spent much of World War II in this country'"
57658,(Joe) Hooker,Who is Joseph Hooker?,"'Nicknamed ""Fighting Joe"", he replaced Ambrose Burnside as commander of the Army of the Potomac in 1863'"
8277,"Arctic, Atlantic & Pacific","What are the Atlantic Ocean, the Pacific Ocean, and the Arctic Ocean?",'The U.S. borders these 3 oceans'
35021,the Egyptians,What is Ancient Egyptian?,"'Apis, a bull god of this ancient people, was believed to be the personification of the creator god Ptah'"
106630,a peg,What is a tuning peg?,"'For tuning many guitars, each string is attached to this'"
182416,Bank it,"What is a ""wing dip""?","'To do it to a fire, you cover it, to do it to a plane, you lower one wing'"
178642,battlefields,What are Civil War Battlefield Parks?,"'Administered by the National Park System, Wilson's Creek; Kennesaw Mountain; and Petersburg are these'"
113343,the grindstone,"What is the ""grindstone""?","'What you ""keep your nose to"" when working hard'"
73505,Piers Ploughman,Who is Piers Plowman?,"'Title character of William Langland's social protest in verse, written under ""Piers"" pressure'"
58447,I/eye,"What is ""eye""?",'It's the singular pronoun of your visual organ'
45163,the ACLU,What is the American Civil Liberties Union?,"'This ""Union"" was formed in 1920 because the Supreme Court wasn't upholding free speech claims'"
115901,their thunder,"What is ""thunder""?","'When you show somebody up or get attention that is due others, you ""steal"" their this'"
191721,garnishing,What is Garnishment?,"'This order allows a worker's wages to be withheld & paid to a third party to whom a debt is owed, as for child support'"
214335,Shaquille O\'Neal,Who is Shaquille O'Neal?,"'In 1993 this center, then with the Orlando Magic, was named the NBA's Rookie of the Year'"
158777,(John) Stetson,Who is John B. Stetson?,"'In 1865 he opened a factory in Philadelphia & began producing his ""10-gallon"" hat'"
191297,The Rockford Files,What is 'Rockford Files'?,"'Steel tools made in the seat of Winnebago County, Illinois (perhaps used by Garner)'"
213121,Attache,What is a Attaché?,"'A diplomatic official, or his briefcase'"
124552,on a tow truck,What is being towed?,"'When your car is ""on the hook"", it's traveling this way'"
56322,(Charles) Dickens,Who is Charles Dickens?,"'An unflattering version of ex-girlfriend Maria Beadnell appeared in his ""Little Dorrit""'"
13508,Pride & Prejudice,"What is ""Pride and Prejudice"" by Jane Austen?","'Netherfield House, let by the rich, handsome & eligible Charles Bingley'"
123101,palace (royal residence),What is a palace?,"'Kung, as in Seoul's famous Tokru-Kung & Kyongbok-Kung, refers to this type of residence'"
168159,Persian rugs,What is a rug?,"'Named for the areas where they were developed, serabands, saruks & ferahans are types of this product'"
1768,life (or liberty or property),"What is life, liberty, or property?","'Under the 5th Amendment, 1 of the 3 things that no person shall be deprived of ""without due process of law""'"
74427,an axiom,"What is an ""axiom""?",'It's a universally accepted principle or rule'
209703,The Wide World of Sports,"What is ""Wide World of Sports""?","'This TV show debuted  April 29, 1961 with Jim McKay as host'"
67336,France,"What is the country of origin for the film ""Indochine"" that won the Best Foreign Language Film award in 1992?","'1992:<br />""Indochine""'"
98611,Batman & Robin,Who are Batman and Robin?,'Gotham City's dynamic duo'
44997,(E.B.) White,"What is ""Charlotte's Web"" by E.B. White?","'He wrote, ""It is not often... someone comes along who is a true friend and a good writer.  Charlotte was both""'"
4795,a desert,What are deserts?,'The spiny shrub ocotillo takes these as its habitat & is common in the Sonoran & Chihuahuan ones'
128149,a manacle,"What is ""How to escape from handcuffs""?",'Show the policeman a clever trick--get your hand out of this restraining device'
2113,(Darius) Rucker,Who is Darius Rucker?,"'This frontman of Hootie & the Blowfish went country with his solo album ""Learn to Live""'"
202784,the elevator,What is an elevator?,'A defining characteristic of a high rise is having this item perfected in the 19th century by Otis'
194423,Rupees,What is the Seychellois rupee?,"'To pay for your dinner at a ""new deli"" in Victoria, the capital, you'll use this currency'"
93199,Mary Lincoln,Who is Mary Todd Lincoln?,"'While she was first lady, her half brother Samuel was killed at the Battle of Shiloh'"
101499,the bluebonnet,"What is the ""Bluebonnet""?",'Keep your hat on while you give us this name of Texas' state flower'
77563,the broom,What is broom?,"'""To jump"" this household item means to get married'"
156242,sub-,"What is ""sub""?","'It's often found in front of ""marine sandwich""'"
50294,beanbag chairs,What are bean bag chairs?,"'Popular in the '60s, they were usually filled with little styrofoam balls'"
9220,the Stockholm Syndrome,What is Stockholm Syndrome?,'This emotional bond to a captor by a hostage due to stress & need for survival is the psychothriller of the summer!'
67689,a nickel,What is the nickel?,'In 2004 a new version of this coin depicted the peace medal Lewis & Clark gave to Indians during their exploration'
81639,the violin,What is a violin?,"'Tartini's sonata ""The Devil's Trill"" came to him in a dream in which the devil played this stringed instrument'"
25539,a blow-up,"What is a ""blow-up""?","'An explosion, or an enlargement of a photograph'"
52966,Secretaries,What is Administrative Professionals' Week and Administrative Professionals' Day?,'The April week & day honoring these workers were first sponsored by Dictaphone'
191417,(always) put your best foot forward,"What is ""always put your best foot forward""?",'Perpetually place one's prime pedal extremity in advance'
59257,brunette/brown,What is brunette?,"'An original 1959 Barbie with blonde hair goes for about $8,000; with this color, about $9,000'"
41933,a leopard leotard,What is a leopard's leotard?,'A big spotted cat's ballet suit'
194494,a pig,What is a breed of domestic pig that originated in the United States?,'A Poland China'
96052,Benedict Arnold,What is the Revolutionary War?,"'Major John Andre, phone home!  This American traitor just called trying to warn you!'"
9654,(Eastman) Kodak,What is the Eastman Kodak Company?,"'Company that ran the Hawk-Eye Works in Rochester, N.Y.'"
19918,(Woodrow) Wilson,Who is Woodrow Wilson?,'In 1913 his wife Ellen planted the first actual rose garden in the White House's West Garden'
174155,dominant hemisphere,"What is ""Dominant""?","'Adjective for the left hemisphere of the brain in most righties, because it controls speech & other functions'"
33073,Venus & Serena Williams,Who are Serena and Venus Williams?,'In October 2010 these 2 sisters ranked first & third in women's tennis'
117045,(Thomas) Hardy,Who is Thomas Hardy?,"'""Drummer Hodge"", a poem by this ""Mayor of Casterbridge"" author, recounts a young soldier's burial'"
28263,Ottomans,What is the Ottoman Empire?,'In the 1300s these Muslim Turks began to build a vast empire that would last until 1922'
140036,hazardous materials,What is hazardous material?,"'A hazmat suit isn't for formal occasions; it's for handling this (the ""hazmat"")'"
89785,the Constitution,What is the United States Constitution?,'Your presentation on strict constructionism of this document saved your law professor having to prep a lecture'
25366,Laika (the dog),"What is ""Dog""?","'In November 1957 the USSR said yes, we have a second Sputnik; this passenger was unavailable for comment'"
86691,"""You\'re A Grand Old Flag""","What is the other lyric to the patriotic song ""You're a grand old flag?""","'""Every heart beats true, under red, white and blue, where there's never a boast or a brag""'"
77052,Mel Gibson & Danny Glover,Who are Mel Gibson and Danny Glover?,"'These 2 actors play detectives Riggs & Murtaugh in the ""Lethal Weapon"" movies'"
68845,Thomas E. Dewey,Who is Thomas Dewey?,"'He gained fame prosecuting racketeers, but lost 2 presidential elections in the 1940s'"
12180,Saint Teresa of Ávila,Who is Saint Teresa of Avila?,'At age 40 this saint of Avila has a transforming vision of heaven & hell'
2379,Rockaway Beach (or Peninsula),What is Rockaway?,'This peninsula in the borough of Queens is one of the principal resort areas for New Yorkers'
39841,Teddy Roosevelt,Who is Theodore Roosevelt?,'In 1902 Clifford Berryman drew a famous editorial cartoon of this man refusing to shoot a bear cub'
142696,the \'60s,What is the 1960s?,"'Orioles third baseman Brooks Robinson, L.A. Dodger Sandy Koufax'"
178418,jeans or genes,What are genes?,"'Wranglers, or the basic units of heredity'"
29122,Languages,What is language extinction?,"'It's estimated that of 6,000 in the world today, half will vanish in the next 100 years, including Jingulu & Chamicuro'"
199637,Lilacs,What is the lilac?,'This fragrant shrub produces New Hampshire's purple state flower every spring'
3815,Who\'s Afraid of Virginia Woolf?,"What is ""Who's Afraid of Virginia Woolf?""",'Liz won an Oscar for her role as a battlesome wife in this adaptation of an Albee play'
30637,anarchy,What is anarchism?,"'In 1921 the black flag flew at the funeral of Peter Kropotkin, philosopher of this government-negating ideology'"
136280,FDR,Who is Franklin D. Roosevelt?,'Herbert Hoover went into a great depression when he lost to this man in 1932'
95425,a churchkey,"What is a ""church key""?",'Holy Schlitz!  It's slang for a beer can opener'
45296,2,What is two players on each side?,'Olympic synchronized platform diving'
5254,Veronica\'s Closet,"What is ""Veronica's Closet""?","'(<a href=""http://www.j-archive.com/media/1998-10-29_DJ_17.jpg"" target=""_blank"">Hi, I'm Wallace Langham.</a>)  I play Josh, the assistant to Ronnie Chase, this show's title character'"
212570,an almanac,"What is the ""World Almanac""?",'An annual publication chock full of facts & figures'
203872,the fine print,"What is ""Fine Print""?","'2-word term for the detailed, often smaller wording on a contract that, if overlooked, could be troublesome'"
135275,"""The Odyssey""",What is The Odyssey?,"'In the opening chapter of this Homerian epic, Athena urges Telemachus to look for his father, Odysseus'"
136831,Women\'s Basketball,Who are the 1996 U.S. Women's Olympic Basketball Team?,"'6' 5"" Lisa Leslie of this gold medal-winning U.S. team is also centered on a modeling career'"
82723,Incas,What is the Inca civilization?,'Peru's El Misti volcano was of great importance to this ancient Indian civilization'
126789,(Alfred) Lunt,Who is Alfred Lunt?,'Married to Lynn Fontanne'
117175,Maxwell Smart/Agent 86,Who is Maxwell Smart?,'In 1995 this secret agent played by Don Adams was promoted to chief of CONTROL'
32775,a prophet,Who are the minor prophets?,"'Like Hosea & Malachi, Jonah is delighted to be considered a ""minor"" one of these Biblical speakers'"
113133,(Santonio) Holmes,Who is Santonio Holmes?,"'That's right, Watson--this Steeler's catch in the waning seconds of Super Bowl XLIII won him the MVP'"
156721,a pita,What is pita bread?,'The Middle East's popular pocket bread'
118713,England (the United Kingdom acceptable),What is England?,'Ripley Castle in this nation has been home to the Ingilby family for 700 years & 26 generations'
329,the umbillical cord,What is the umbilical cord?,'This cord that connects a fetus to the placenta contains 2 arteries & 1 vein'
56854,the sloth,What is a sloth?,"'The name of this slow-moving mammal seen here comes from an Old English word for ""slow""'"
132126,"""Annie""",What is Annie?,"'""Little Girls"" & ""You Won't Be an Orphan for Long"" are songs from this ever-popular musical'"
131872,pretreat,What is pre-treat?,'To soak fabric in cleaning solution before putting it in the washing machine'
86398,the incisor,What is an incisor?,"'From the Latin for ""to cut"", it's a tooth adapted for cutting'"
197834,the vena cava,What are the superior and inferior vena cava?,"'(<a href=""http://www.j-archive.com/media/2008-10-21_DJ_14.jpg"" target=""_blank"">Sarah of the Clue Crew points to a diagram of the heart on the monitor.</a>)  Deoxygenated blood is carried back to the heart via the body's two largest veins, the superior & inferior this'"
159337,expat,"What is ""ex-pat""?",'The Brits like this 5-letter short form of a word for someone in self-imposed exile'
110209,the Plantagenets,What is the Planaganet dynasty?,"'This British royal line descended from the union of Geoffrey, Count of Anjou, & the Empress Matilda, Henry I's daughter'"
60763,you\'re part of the problem,"What is ""...you're part of the problem"" ?","'""If you're not part of the solution...""'"
182534,Othello,"What is ""That's a question I should like answered as well""?","'Cassio, Act I, Scene ii:<br />""To who?""'"
174987,the border between Asia & Europe,What is the border between Europe and Asia?,'A monument at Pervoururalsk in the Ural Mountains marks this geographic border'
10882,William Miller,Who is William E. Miller?,'This New Yorker was landslided with Goldwater'
108292,"""The Thin Man""","What is ""The Thin Man?""",'The title of this Dashiell Hammett novel refers to the chap Nick & Nora Charles are looking for'
154848,"""Information Superhighway""",What is the Information Superhighway?,"'In a 1991 article Al Gore used this 2-word phrase for a new ""driving"" force, high-speed fiber-optic networks'"
175292,a reduction,What is reduction?,'For the sauce I'm making this 9-letter concoction that'll be ready when part of the port's volume has cooked off'
25121,(J.P.) Morgan,What is J.P. Morgan?,"'This name precedes ""Chase"" in the name of the bank that gobbled up Bear Stearns'"
146999,the Maine,What is the USS Maine?,"'In 1898 Americans were urged to ""remember"" this battleship that sank in Havana harbor, leading to war with Spain'"
56640,Netherlands (Holland),What is the Netherlands?,'European country that produced the Barnevelder breed'
33614,Fiancee,"What is ""fiancée""?","'From the French for ""promise"" or ""trust"", it's one's bride-to-be'"
73389,Liza Minelli,Who is Liza Minnelli?,"'As a toddler she appeared at the end of mom's 1949 movie ""In the Good Old Summertime""'"
185170,A Midsummer Night\'s Dream,What is A Midsummer Night's Dream?,"'Balanchine's first original full-length ballet was an adaptation of this ""dreamy"" Shakespeare play'"
6738,the Bobby lobby,What is a bobby lobby?,'Hotel foyer where British policemen like to gather'
115361,Percy Shelley,Who is Percy Bysshe Shelley?,"'This ""Adonais"" poet suffered from depression after several family tragedies'"
180187,Louis L\'Amour,Who is Louis L'Amour?,'This bestselling Western author wrote about the Sackett family in more than a dozen novels'
24332,arrivals & departures,What are departures and arrivals?,"'For AeroMexico, they're salidas y llegadas'"
198097,Schindler\'s List,What is Schindler's List?,"'A line from this 1993 movie is ""The list is life""'"
44478,the Delphic Oracle,What is the Oracle of Delphi?,"'You don't have to be an oracle to know that this oracle is pivotal to the plot of ""Ion""'"
45282,"Concord, New Hampshire","What is Concord, the capital of New Hampshire?",'In 1765 this city was named in honor of the peaceful resolution of a boundary dispute'
160140,(Peter) Jackson,Who is Peter Jackson?,"'2003 for ""The Lord of the Rings: The Return of the King""'"
20814,L\'Osservatore Romano,What is L'Osservatore Romano?,"'Purchased by Pope Leo XIII in 1890, in the 1930s it was the only Italian paper free of fascist control'"
43726,talons (or claws),What is talon?,"'The verb ""to pounce"" comes from a noun meaning this part of a bird of prey'"
98386,(David) Caruso,Who is David Caruso?,"'He has somehow turned donning sunglasses into an art form as Horatio Caine on ""CSI: Miami""'"
103251,(Mahatma) Gandhi,Who is Mahatma Gandhi?,"'In a 1922 speech he declared, ""Nonviolence is the first article of my faith""'"
66390,"""For Whom the Bell Tolls""",What is For Whom the Bell Tolls?,"'The title of this novel of the Spanish Civil War comes from John Donne's ""Meditation XVII""'"
36752,5,What is five points?,"'The stars on over 50 national flags, including ours, have this many points'"
17257,Tarir Square,What is Tahrir Square?,'This Cairo square was the heart of the 18 days of protest that toppled Egyptian leader Hosni Mubarak in 2011'
91026,"""Will Rogers Follies""",What is The Will Rogers Follies?,'Keith Carradine rounded up a 1991 Tony nomination for his role in this extravaganza'
37910,lemon grass,What is lemongrass?,'This Thai food flavoring comes from a tropical plant named for its citrusy smell'
68652,Seattle & Spokane,What are Seattle and Spokane?,"'They're Washington State's 2 largest ""s""ities'"
183367,the Vatican,What is Vatican City?,"'My Roomba can clean an entire country! Well, maybe just this one, independent since 1929--it's only 109 acres'"
142400,(Jacques) Chirac,Who is Jacques Chirac?,"'Sarkozy backed PM Balladur for president in 1995, causing a fallout with this French leader who won that election'"
105837,(Ralph) Ellison,Who is Ralph Ellison?,"'Perhaps he was just being modest when he said that his ""Invisible Man"" was ""not an important novel""'"
48395,(Mark) Twain,Who is Mark Twain?,"'He gets 7 volumes, including ""The Gilded Age and Later Novels""'"
15319,Edwards AFB,What is Edwards Air Force Base?,'Buzz Aldrin left NASA in 1971 & became commander of the test pilot school at this California air force base'
175642,a fawn,"What is ""fawn""?","'A young deer, or Ms. Hall'"
135151,"Bloemfontein, Cape Town &/or Pretoria",What are Cape Town and Pretoria?,'Two of South Africa's 3 capital cities'
75815,Bail bonds,What is Bail Bond Services?,'Many companies stay open 24 hours & take credit cards to provide this money for the just-jailed'
53587,Yak (Kay),What is a yak?,'Kay got to ride this animal when she visited Tibet'
82324,corn,What is maize?,"'(<a href=""http://www.j-archive.com/media/2011-05-31_DJ_18.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from Machu Picchu, Peru.</a>)  A kallanka was an Inca great hall; drinking vessels found here show that festivities included drinking chicha de jora, beer made from this grain'"
136502,the poinsettia,What is a poinsettia?,"'This popular Christmas flower comes in several different colors, but the red variety is in greatest demand'"
56401,centermen,"What is ""What are three positions in ice hockey?""","'Nelson ""Old Poison"" Stewart,<br />Stan Mikita,<br />Wayne Gretzky'"
142981,a radical,What is the radical symbol (√)?,"'(<a href=""http://www.j-archive.com/media/2005-09-13_DJ_20.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue standing at a chalkboard.</a>)  This ""extreme"" symbol  indicates a square root; when used with a <a href=""http://www.j-archive.com/media/2005-09-13_DJ_20a.jpg"" target=""_blank"">raised 3</a>, a cube root'"
3946,sensory receptors,What are nociceptors?,"'There are several types of these nerve cells: some respond to temperature, some to pressure & some to pain'"
18579,a superego,What is the Superego?,'It's what Freud called the conscience or moral part of the personality'
8306,the O\'Learys,Who were the O'Learys?,"'Though the 1871 Chicago fire began in this family's barn, their house suffered only minor damages'"
62276,the gall bladder,What is the gallbladder?,'Internal digestive organ connected to the liver'
72967,(the Marquis) de Sade,Who is Marquis de Sade?,"'French author of 1795's ""Philosophy in the Bedroom""... ouch!'"
88608,C.B. radios,What are CB radios?,'Truckers know these have a range of about 25 miles in motor vehicles & federally limited power of 4 watts'
121143,the differential,What is a differential?,'Automotive gear allowing wheels to turn at separate speeds'
214964,Angel,"What is ""Buffy the Vampire Slayer""?","'The son of 2 vampires, Connor is (not surprisingly) a sullen teen on this drama'"
170568,Ohio,What is the state that borders both Michigan and Pennsylvania?,'Michigan & Pennsylvania'
130038,stones,What is stone?,"'If your neighbor's a lapicide, he's not a killer; he's just a guy who cuts this stuff for a living, maybe from a quarry'"
30234,art walks,What is an art walk?,'Tacoma & Durham are 2 cities that have regular events named this in which you stretch your legs & see paintings'
205979,Magi/three wise men,Who are the Wise Men (or Magi)?,'Star Tracks says that scholars believe these star-tracking fellows were astrologers from Persia'
76209,P.J. O\'Rourke,Who is P.J. O'Rourke?,"'He's known for his ""Holidays in Hell"" stories in Rolling Stone'"
71004,spasiba,"What is ""Spasibo""?",'In Russian'
12518,Pelé,Who is Pele?,"'This South American soccer great was known as Perola Negra, ""The Black Pearl""'"
168719,Appalachians,What is the Appalachian Mountains?,"'This 1,500-mile-long mountain system divided the Civil War into the eastern & western theaters'"
17420,the Chevy 409,"What is a ""409""?","'For the Beach Boys, ""nothing can catch"" this Chevy muscle car'"
191445,Hermes & Aphrodite,Who are Hermes and Aphrodite?,"'Hermaphroditus, whose body combined both sexes, had name combining these 2 gods, his parents'"
131956,"""Heartbreak Hill""",What is Heartbreak Hill?,'Popular name of the tough section of the Boston Marathon course seen here'
67828,the Romany,What are Roma people?,"'Called Bohemians by the French & Gypsies by the English, they refer to themselves as this'"
81883,the British Open,What is the Open Championship (British Open)?,"'In the final round at Turnberry in 1977, Tom Watson outdueled Jack Nicklaus to win this major by a stroke'"
83285,Black Panthers,What is the Black Panther Party?,'This civil rights group was organized in Oakland in 1966 by Huey Newton & Bobby Seale'
97775,Hungary,"What is a traditional Hungarian stew often made with meat, vegetables, and paprika, and sometimes served over egg noodles?",'Goulash'
10767,(Tom) Parker,Who is Colonel Tom Parker?,"'An impresario:<br />""The Colonel""'"
103660,Hole-In-One,What is a hole in one?,'An ace is another term for this prodigious feat'
998,U.N.C.L.E. (United Network Command for Law and Enforcement),What is U.N.C.L.E.?,"'Organization that employed Alexander Waverly, Mark Slate & Illya Kuryakin'"
202504,Bourbons,What is the House of Bourbon?,'The War of the Spanish Succession consolidated the rule in Spain of Philip V of this French family'
15307,"Virgil ""Gus"" Grissom",Who is Gus Grissom?,"'This astronaut who died in the Apollo 1 fire was the subject of ""Starfall"", co-written by his wife Betsy'"
201733,South & East,What are the South China Sea and the East China Sea?,"'Of North, South, East & West, the 2 that most frequently precede ""China Sea""'"
108587,Venus/Aphrodite,Who is Venus?,'Aeneas was the son of a Trojan prince & this goddess of love'
34353,Thank You notes,What are thank-you notes?,"'""Miss Manners always believes in sending"" these ""notes.  It encourages people to give more""'"
96415,General anesthetic/anesthesia,What is an anesthetic?,'A drug that produces unconsciousness'
177870,C (100),"What is ""C""?","'In Roman numerals:<br />I, V, X, L...'"
147293,to uproot,"What is ""Uprooting""?","'Often done to trees, it's also done to people who are removed from their native land'"
48999,Folsom Prison,What is Folsom State Prison?,"'The first scenes in ""Walk the Line"" take place at this location, just before a famous 1968 concert'"
207701,(Donald) Trump,Who is Donald Trump?,"'His bloggings included ""The 3 D's of real estate"" & ""Why I selected Dennis Rodman"" for his TV show'"
83970,an opossum,What is the Virginia Opossum?,"'Contrary to popular belief, this U.S. marsupial doesn't play dead when frightened; it's suffering from shock'"
116899,Woodward & Bernstein,Who are Carl Bernstein and Bob Woodward?,'The 2 reporters at the Washington Post who blew the whistle on Watergate'
92302,Ossining,"What is the pen name of the writer who used Sing Sing as the setting for his book, ""In the Belly of the Beast""?",'The New York prison in this town has the singsong name Sing Sing'
71437,its eyes,What are eyes?,'These are found on the ends of a snail's stalks or tentacles'
182716,B-A-I-N-E-S,What is the correct spelling of the middle name of President Lyndon B. Johnson?,'Lyndon Johnson'
191484,West Germany,What is Germany?,'A 1974 scandal led to the end of Willy Brandt's career as the popular chancellor of this country'
59637,Stephen Douglas,Who is Stephen A. Douglas?,"'Less than 3 years after his debates with Lincoln, he died of typhoid fever'"
30528,Abbott and Costello,Who are Bud Abbott and Lou Costello?,"'From this duo's classic routine: ""Who's on first?"" ""Yes."" ""I mean the fellow's name."" ""Who."" ""The guy on first."" ""Who""'"
214256,"Barry, Robin & Maurice","Who are Barry, Robin, and Maurice?",'The 3 members of pop music's Bee Gees'
92452,Carlos Santana,Who is Santana?,"'With help from Matchbox 20's Rob Thomas, he topped the charts with the song ""Smooth""'"
188038,Eva Peron,Who is Eva Perón?,"'For a short time in the 1950s, La Plata, Argentina was named for her'"
43707,Bombay (or Mumbai),What is Mumbai?,"'Mukesh Ambani's $1 billion home, the world's most expensive, lies on the Arabian Sea in this largest Indian city'"
78917,"""Four score and seven...""",What is the Gettysburg Address?,"'It's how Lincoln ""addressed"" the number of years between 1776 & 1863'"
105158,Surrealism,What is the Surrealist art movement?,"'Elsa Schiaparelli was influenced by this art movement & even designed the ""tear dress"" with Dali'"
186962,(Jack) London,Who is Jack London?,"'He didn't strike it rich in the 1897 Klondike gold rush, but he did use the experience in works like ""Son of the Wolf""'"
169233,(Andrew) Sullivan,Who is Andrew Sullivan?,"'This gay, often conservative british-born pundit serves up the blog ""The Daily Dish""'"
57951,"""Taps""",What is Taps?,"'Its unofficial lyrics include:<br />""Day is done,<br />gone the sun,<br />from the lake,<br />from the hill,<br />from the sky""'"
77726,MOMA (Museum of Modern Art),What is the Museum of Modern Art (MoMA)?,"'Famous works in this NYC museum include Rousseau's ""The Dream"" & Mondrian's ""Broadway Boogie Woogie""'"
201467,sword swallowing,What is the human sword-swallowing act and its gastrointestinal consequences?,"'A medical award went to a ""penetrating... report"" on this alliterative sideshow act ""& its side effects""'"
103349,a bobbin,What is bobbin lace?,"'(<a href=""http://www.j-archive.com/media/2009-06-16_DJ_25.wmv"">Jimmy of the Clue Crew reports from the Bruges Lace Center in Belgium.</a>)  Also known as pillow lace, this popular type of lace made here in Bruges is named for the <a href=""http://www.j-archive.com/media/2009-06-16_DJ_25a.jpg"" target=""_blank"">implement</a> around which the thread is wound'"
201406,USA (Lake Placid),What is the United States of America?,'The first Olympics at which the song could be played as our official national anthem were held in 1932 in this country'
69529,the Catskills,What are the Catskill Mountains?,"'Henny Youngman began his career as a violinist playing the ""Borscht Belt"" in these N.Y. mountains'"
97658,(Strom) Thurmond,Who is Strom Thurmond?,"'This South Carolinian wasn't on the ballot for a U.S. senator in 1954, but won as a write-in'"
148375,bicycles,What is a bicycle?,"'The ""safety"" version of this transport was the first to have wheels of equal size, unlike the penny-farthing'"
206725,Sandra Day O\'Connor,Who is Justice Sandra Day O'Connor?,"'Nominated by Ronald Reagan as a conservative, she's moved to the center while on the Supreme Court'"
32792,a flying ace,What is an Ace?,'In 1915 Adolphe Pegoud became one of the first to be called this after shooting down 5 aircraft'
87338,a llama/lama,What is a llama?,"'A South American ruminant, or a Tibetan monk'"
75305,worked in an art gallery (or sold art),What is an art dealer?,'Vincent Van Gogh's brother Theo did this for a living'
77629,tall tales,What is a myth?,'This term for stories about larger-than-life characters is most appropriate for the towering Paul Bunyan'
75019,masters (or slaveowners),What is rulers or leaders who come from the slave-owning class or society?,"'While a dulocracy is government run by slaves, a slavocracy is a government ruled by these'"
